YEAR,STATE,TOTAL_HOME_UNITS
2017,SD,72
2017,TN,93
2017,TX,594
2017,UT,31
2017,VA,80
2017,VT,52
2017,WA,178
2017,WI,206
2017,WV,130
2017,WY,29
2018,AK,140
2018,AL,9
2018,AR,50
2018,AZ,46
2018,CA,1082
2018,CO,94
2018,CT,194
2018,DC,101
2018,DE,18
2018,FL,618
2018,GA,167
2018,HI,28
2018,IA,24
2018,ID,18
2018,IL,541
2018,IN,187
2018,KS,65
2018,KY,36
2018,LA,231
2018,MA,315
2018,MD,122
2018,ME,17
2018,MI,322
2018,MN,79
2018,MO,110
2018,MS,3
2018,MT,23
2018,NC,375
2018,NE,19
2018,NH,21
2018,NJ,137
2018,NM,14
2018,NV,94
2018,NY,904
2018,OH,181
2018,OK,45
2018,OR,60
2018,PA,321
2018,PR,34
2018,RI,41
2018,SC,99
2018,SD,17
2018,TN,76
2018,TX,485
2018,UT,49
2018,VA,646
2018,VT,45
2018,WA,135
2018,WI,190
2018,WV,18
2018,WY,29
2019,AK,11
2019,AL,101
2019,AR,43
2019,AZ,89
2019,CA,2392
2019,CO,118
2019,CT,99
2019,DE,80
2019,FL,357
2019,GA,384
2019,IA,33
2019,ID,45
2019,IL,166
2019,IN,159
2019,KS,30
2019,KY,175
2019,LA,115
2019,MA,307
2019,MD,392
2019,ME,23
2019,MI,195
2019,MN,182
2019,MO,99
2019,MS,43
2019,MT,11
2019,NC,172
2019,ND,50
2019,NE,19
2019,NH,32
2019,NJ,145
2019,NM,9
2019,NV,81
2019,NY,481
2019,OH,200
2019,OK,83
2019,OR,107
2019,PA,374
2019,PR,17
2019,RI,49
2019,SC,115
2019,SD,24
2019,TN,68
2019,TX,535
2019,UT,44
2019,VA,162
2019,VT,21
2019,WA,109
2019,WI,165
2019,WV,22
2019,WY,10
2020,AK,4
2020,AL,210
2020,AR,37
2020,AZ,92
2020,CA,1736
2020,CO,76
2020,CT,16
2020,DE,9
2020,FL,364
2020,GA,199
2020,HI,21
2020,IA,25
2020,ID,25
2020,IL,370
2020,IN,136
2020,KS,9
2020,KY,35
2020,LA,89
2020,MA,263
2020,MD,104
2020,ME,17
2020,MI,110
2020,MN,72
2020,MO,64
2020,MS,11
2020,MT,126
2020,NC,96
2020,ND,13
2020,NE,9
2020,NH,38
2020,NJ,67
2020,NM,11
2020,NV,78
2020,NY,402
2020,OH,100
2020,OK,35
2020,OR,47
2020,PA,290
2020,RI,18
2020,SC,61
2020,SD,40
2020,TN,65
2020,TX,412
2020,UT,49
2020,VA,43
2020,VT,22
2020,WA,135
2020,WI,38
2020,WV,10
2020,WY,40
2021,AK,14
2021,AL,72
2021,AR,107
2021,AZ,76
2021,CA,560
2021,CO,58
2021,CT,21
2021,DC,64
2021,DE,34
2021,FL,590
2021,GA,28
2021,HI,12
2021,IA,43
2021,ID,20
2021,IL,940
2021,IN,184
2021,KS,9
2021,KY,34
2021,LA,101
2021,MA,291
2021,MD,239
2021,ME,14
2021,MI,71
2021,MN,54
2021,MO,98
2021,MT,14
2021,NC,132
2021,ND,20
2021,NE,47
2021,NH,35
2021,NJ,116
2021,NM,10
2021,NV,67
2021,NY,314
2021,OH,114
2021,OK,218
2021,OR,41
2021,PA,297
2021,PR,17
2021,RI,27
2021,SC,34
2021,SD,31
2021,TN,109
2021,TX,228
2021,UT,94
2021,VA,119
2021,VT,68
2021,WA,55
2021,WI,130
2021,WV,25
2021,WY,35
2022,AK,14
2022,AL,171
2022,AR,25
2022,AZ,87
2022,CA,790
2022,CO,63
2022,CT,11
2022,DE,11
2022,FL,254
2022,GA,139
2022,HI,12
2022,IA,26
2022,ID,9
2022,IL,595
2022,IN,120
2022,KS,12
2022,KY,39
2022,LA,58
2022,MA,460
2022,MD,281
2022,ME,11
2022,MI,401
2022,MN,38
2022,MO,24
2022,MS,6
2022,MT,12
2022,NC,390
2022,ND,19
2022,NE,11
2022,NH,29
2022,NJ,124
2022,NM,123
2022,NV,55
2022,NY,680
2022,OH,204
2022,OK,84
2022,OR,56
2022,PA,353
2022,PR,8
2022,RI,28
2022,SC,94
2022,SD,20
2022,TN,99
2022,TX,201
2022,UT,73
2022,VA,59
2022,VT,14
2022,WA,116
2022,WI,172
2022,WV,33
2022,WY,11
2023,AK,4
2023,AL,13
2023,AR,21
2023,AZ,6
2023,CA,479
2023,CO,25
2023,CT,104
2023,DE,6
2023,FL,224
2023,GA,117
2023,IA,10
2023,ID,13
2023,IL,73
2023,IN,118
2023,KY,28
2023,LA,29
2023,MA,134
2023,MD,22
2023,MI,46
2023,MN,46
2023,MO,85
2023,NC,30
2023,ND,9
2023,NE,16
2023,NH,13
2023,NJ,72
2023,NV,33
2023,NY,144
2023,OH,119
2023,OK,72
2023,PA,200
2023,RI,9
2023,SC,10
2023,TN,18
2023,TX,102
2023,UT,16
2023,VA,6
2023,VT,14
2023,WA,36
2023,WI,115
2023,WV,30
2023,WY,8
