COMPLETED_DT,LAT,LON,TOTAL_HOME_UNITS
2017-05-18,26.608402,-80.059706,11.0
2012-08-03,26.728259,-80.055034,4.0
2012-09-20,26.723909,-80.063552,4.0
2017-02-08,26.755617,-80.056462,1.0
2017-02-08,26.731018,-80.061978,1.0
2011-05-23,26.718222,-80.058582,3.0
2014-10-27,26.723774,-80.058416,6.0
2012-07-13,26.720933,-80.058596,2.0
2012-09-13,26.755617,-80.056462,1.0
2014-02-20,25.775327,-80.136249,34.0
2011-06-02,25.898025,-80.235607,99.0
2012-03-06,25.772438,-80.212007,90.0
2013-03-15,25.786671,-80.199326,35.0
2011-05-27,25.804863,-80.126752,34.0
2014-02-13,25.804581,-80.125425,36.0
2012-07-17,25.43982,-80.493527,90.0
2016-01-14,25.879279,-80.234379,15.0
2016-02-09,25.451961,-80.490368,10.0
2013-04-11,25.781652,-80.206901,48.0
2014-07-30,25.828482,-80.206824,10.0
2019-05-13,25.771882,-80.137265,21.0
2016-10-20,25.94029,-80.268308,31.0
2016-02-19,25.911612,-80.235466,30.0
2019-07-11,25.845664,-80.199539,9.0
2014-04-15,25.532109,-80.398802,7.0
2018-06-26,25.506608,-80.428185,11.0
2016-09-27,25.765316,-80.203664,18.0
2016-09-22,25.525381,-80.425046,5.0
2018-04-23,25.518856,-80.422748,33.0
2017-01-05,25.764684,-80.195833,10.0
2018-04-24,25.566552,-80.374157,10.0
2022-03-30,25.788752,-80.198122,10.0
2017-11-13,25.790548,-80.19817,48.0
2019-03-05,25.822562,-80.236489,7.0
2019-08-20,25.869932,-80.122624,22.0
2022-06-08,25.568167,-80.372436,13.0
2021-02-22,25.60198,-80.364984,9.0
2023-04-08,25.776228,-80.222652,11.0
2022-07-02,25.497149,-80.448147,11.0
2022-11-01,25.779862,-80.231509,18.0
2019-12-02,28.071317,-80.60727,1.0
2004-01-01,28.559992,-80.800831,2.0
2005-08-31,28.08304,-80.624215,3.0
2006-09-29,28.081991,-80.609519,2.0
2007-08-20,28.136929,-80.646349,9.0
2006-05-25,28.610511,-80.822609,15.0
2010-05-27,28.066132,-80.604496,3.0
2010-03-25,28.609768,-80.816591,2.0
2011-03-08,28.028489,-80.625752,1.0
2010-10-20,28.383547,-80.754868,5.0
2012-08-14,28.066406,-80.604692,3.0
2011-04-27,28.385933,-80.753206,4.0
2014-05-23,28.561507,-80.822869,4.0
2012-08-14,28.619722,-80.840405,1.0
2014-05-20,28.561002,-80.819188,1.0
2015-02-05,28.471093,-80.797351,3.0
2014-04-17,28.611816,-80.821427,3.0
2015-02-05,28.333551,-80.730381,2.0
2014-09-03,28.537974,-80.827713,4.0
2017-10-13,28.310725,-80.752168,3.0
2017-11-08,28.367784,-80.74242,1.0
2018-09-07,28.064823,-80.604587,1.0
2003-07-07,29.644674,-82.327989,2.0
2003-09-08,29.653612,-82.298482,1.0
2003-09-08,29.64997,-82.307454,3.0
2003-12-19,29.644441,-82.316808,2.0
2006-09-12,29.665751,-82.337388,40.0
2008-08-18,29.67723,-82.330947,1.0
2008-09-30,29.663637,-82.321068,1.0
2008-09-22,29.67723,-82.330947,1.0
1999-09-14,30.405168,-84.26762,1.0
2008-09-10,30.418069,-84.235134,124.0
2005-07-25,30.415968,-84.27486,99.0
2004-06-01,30.465268,-84.34393,11.0
2004-10-23,30.465255,-84.343927,12.0
2013-04-02,30.417264,-84.298805,1.0
2013-04-02,30.454202,-84.295976,1.0
2013-04-02,30.45387,-84.296501,1.0
2012-08-17,30.452709,-84.291973,1.0
2012-08-17,30.455123,-84.291065,1.0
2012-08-17,30.455123,-84.291065,1.0
2014-08-14,30.420689,-84.29447,1.0
2013-04-02,30.411008,-84.310616,1.0
2013-06-19,30.426842,-84.296278,1.0
2012-11-13,30.447839,-84.286527,1.0
2019-12-02,28.071316,-80.607208,1.0
2022-10-05,28.066984,-80.612517,1.0
2006-08-18,26.121285,-80.143645,1.0
2006-08-18,26.121285,-80.143645,1.0
2006-08-18,26.121285,-80.143645,1.0
2006-08-18,26.121285,-80.143645,1.0
2006-08-21,26.179167,-80.149431,1.0
2012-03-06,25.772261,-80.217923,76.0
2006-04-25,25.779881,-80.133779,18.0
2006-10-12,25.85118,-80.187553,66.0
2014-02-04,26.21506,-80.132185,11.0
2013-08-27,26.237041,-80.126093,1.0
2016-09-30,26.21506,-80.132185,2.0
1993-03-25,27.752285,-82.640841,43.0
1993-07-01,27.778911,-82.686263,4.0
1998-09-29,27.766657,-82.639968,4.0
1998-11-25,27.772136,-82.655652,16.0
2001-06-01,27.794064,-82.643957,1.0
1998-09-29,27.783143,-82.645493,6.0
1998-09-29,27.759692,-82.649898,1.0
1998-11-25,27.856276,-82.653641,10.0
1999-09-23,27.736953,-82.683579,2.0
2013-01-10,26.43118,-81.455751,2.0
